,message,intent
0,Can you recommend a good movie to watch? I'm in the mood for something entertaining.,fallback
1,"I've been experiencing persistent stomach pain and discomfort, especially after eating.",symptoms
2,Could you please arrange a consultation with one of your doctors for me?,book_session
3,I'd like to reschedule my appointment at your hospital and arrange for another date.,session_reschedule
4,What are the healthcare services and facilities that your hospital extends?,medical_services
5,"Hi, virtual assistant!",greeting
6,How can I offer feedback on the efficiency and organization of your hospital?,feedback
7,Can you please cancel the appointment I had arranged at your hospital?,session_cancelation
8,"This doesn't make any sense to me; I'm asking about hospital services, and you're talking about weather.",fallback
9,How can I share my feedback about the hospital's amenities and accommodations?,feedback
10,Can you list the medical services and facilities provided at your hospital?,medical_services
11,"I'm interested in arranging a consultation with one of your doctors, can you help?",book_session
12,My newborn baby was born prematurely and requires specialized care due to their early arrival.,symptoms
13,I want to change the date of my appointment at your hospital and find a more suitable time.,session_reschedule
14,Can you please reschedule the appointment I had arranged at your hospital?,session_reschedule
15,Can you assist me with the process of providing feedback about the hospital's dietary services?,feedback
16,What are the healthcare services and facilities that your hospital extends to patients?,medical_services
17,"No, I don't have any additional questions.",service_completion
18,"Hey, virtual buddy!",greeting
19,How can I settle the payment for this upcoming appointment?,payment
20,How can I offer feedback about my recent visit to your hospital?,feedback
21,What are the healthcare services and facilities that your hospital extends to patients?,medical_services
22,blah blah blah,fallback
23,How can I share my feedback about the hospital's follow-up care and support?,feedback
24,I need to reschedule the appointment I scheduled at your hospital.,session_reschedule
25,Tell me about the secret of the Bermuda Triangle. I'm into mysterious stuff.,fallback
26,I'd like to reschedule my appointment at your hospital and find a new convenient date.,session_reschedule
27,"Hi, talkative bot!",greeting
28,Can you provide information about the medical services and facilities you have?,medical_services
29,I'd like to revoke the appointment I scheduled at your hospital.,session_cancelation
30,"I've been feeling extremely sad and hopeless for an extended period, and it's affecting my daily life.",symptoms
31,"What's the meaning of the universe? I know, I know, it's a big question.",fallback
32,"Hello, intelligent assistant!",greeting
33,I have a persistent and large lump or mass on my body that has been growing.,symptoms
34,Tell me how to finalize the payment for this appointment.,payment
35,I want to make an appointment with a doctor from your medical team.,book_session
36,Why are you not responding properly to my queries? I thought you were supposed to be smart.,fallback
37,Is it possible to schedule a doctor's appointment at your hospital?,book_session
38,"I've been experiencing recurrent sneezing, runny nose, and itchy, watery eyes, especially in certain environments.",symptoms
39,I'd like to reschedule the appointment I made at your hospital and find an alternative date.,session_reschedule
40,Who is the president of [random country]? Just thought I'd test your knowledge.,fallback
41,"Can you do my homework? Just kidding, I know you're not a cheating machine.",fallback
42,"What's your favorite color? I know it's a strange question for a chatbot, but I'm curious.",fallback
43,"Hey, virtual friend!",greeting
44,"Hello, AI bot!",greeting
45,I need guidance on how to pay for my scheduled appointment.,payment
46,I'd like to reschedule my appointment at your hospital and book a new one.,session_reschedule
47,"I often feel bloated and have frequent indigestion, even with smaller meals.",symptoms
48,"I want to buy a car, but I doubt you can help me with that decision.",fallback
49,Please reschedule the appointment I made at your hospital.,session_reschedule
50,"No, I'm content with the service rendered.",service_completion
51,"Please, I need to make an appointment with one of your doctors soon.",book_session
52,"Well, hello there!",greeting
53,Please reschedule my appointment at your hospital as my plans have changed.,session_reschedule
54,"I'm interested in seeing one of your doctors, can you provide me with the next available slot?",book_session
55,I'm requesting your assistance in facilitating the admission of a patient to your hospital.,addmission_enqiry
56,"Hi there, amazing bot!",greeting
57,"Hi, there, clever bot!",greeting
58,"No, that's all I wanted to discuss.",service_completion
59,I've been feeling unusually fatigued and have had a decreased appetite.,symptoms
60,I need to cancel my upcoming appointment at your hospital.,session_cancelation
61,Is there a designated email address where I can send my feedback regarding my hospital visit?,feedback
62,I'd like to know the range of medical services and facilities offered at your hospital.,medical_services
63,"No, I'm happy with the information provided.",service_completion
64,What's the meaning of this word? I feel like I'm in a dictionary mode now.,fallback
65,I'm afraid I won't be able to make it to my appointment at your hospital. Can we cancel it?,session_cancelation
66,I've been experiencing recurring ear infections and hearing loss.,symptoms
67,"That covers everything I needed, thank you.",service_completion
68,I'm satisfied with the assistance.,service_completion
69,"I've had a persistent cough and congestion, and my energy levels are lower than usual.",symptoms
70,"Hi, buddy!",greeting
71,I want to cancel my appointment at your hospital and arrange for another date.,session_cancelation
72,What are the payment options for this appointment?,payment
73,Can you please furnish me with the hospitals' location and the contact number?,contact_location
74,Can you please provide me with the hospitals' location and the contact number?,contact_location
75,Could you assist me in reserving a slot with one of your doctors?,book_session
76,Please reschedule the appointment I had confirmed for [date/time] at your hospital.,session_reschedule
77,"I've been feeling extremely fatigued, even after a full night's sleep.",symptoms
78,Could you please inform me of the process to request hospital admission for a patient?,addmission_enqiry
79,I'd like to cancel my appointment at your hospital and reschedule it for another time.,session_cancelation
80,I need to reschedule my appointment at your hospital and find a new available slot.,session_reschedule
81,Can you understand me? Sometimes it feels like I'm not making much sense with my inquiries.,fallback
82,Can I share my thoughts and feedback on my recent hospital visit with you?,feedback
83,I need to reschedule my appointment at your hospital as my plans have changed.,session_reschedule
84,What's the cure for a broken heart? A chatbot's response might not be enough.,fallback
85,I have a patient who requires medical attention and would like to request admission.,addmission_enqiry
86,Can you assist me in rescheduling the appointment I scheduled at your hospital?,session_reschedule
87,"I'd like to schedule a session with one of your doctors, please help me.",book_session
88,Can you speak English? I hope you're not using some alien language I can't comprehend.,fallback
89,Can you explain the healthcare services and facilities available at your hospital?,medical_services
90,Is it feasible to arrange for a patient's admission to your hospital at this time?,addmission_enqiry
91,Can you explain the medical services and facilities available at your hospital?,medical_services
92,I'd like to share my feedback about the medical staff during my recent hospital visit.,feedback
93,"No, that's the conclusion of our discussion.",service_completion
94,I need to cancel the appointment I had confirmed at your hospital.,session_cancelation
95,I'm formally requesting hospital admission for a patient who requires medical attention.,addmission_enqiry
96,I have some feedback about my recent visit to your hospital that I'd like to share.,feedback
97,Hey!,greeting
98,"I don't require any more help, thanks.",service_completion
99,"No, I don't require any more assistance.",service_completion
100,"My child has been coughing and wheezing, especially at night, and seems to be having difficulty breathing.",symptoms
101,Is it possible to book a session with one of your doctors? Your assistance is appreciated.,book_session
102,I'd like to provide feedback on the level of care and attention I received at your hospital.,feedback
103,"I don't need any additional information, thanks.",service_completion
104,I want to know what medical services and facilities I can find at your hospital.,medical_services
105,I need to reschedule my upcoming appointment at your hospital.,session_reschedule
106,Is it possible to schedule a doctor's appointment at your hospital?,book_session
107,I'd like to inquire about the possibility of admitting a patient to your hospital.,addmission_enqiry
108,I want to know the available payment choices for this appointment.,payment
109,"I've noticed changes in my bowel habits, including diarrhea and constipation.",symptoms
110,How can I offer feedback on the hospital's communication and information sharing with patients?,feedback
111,I've been experiencing sharp chest pain that radiates to my left arm.,symptoms
112,I'd like to give feedback about the communication with the medical staff during my visit.,feedback
113,I'd appreciate it if you could brief me about the medical services and facilities you provide.,medical_services
114,How do I finalize the payment for this scheduled appointment?,payment
115,"Can I marry you? Just kidding, of course, but let's see how you respond to a random question.",fallback
116,Can you assist me in canceling the appointment I had previously made at your hospital?,session_cancelation
117,I'm looking to request admission for a patient who needs medical care at your hospital.,addmission_enqiry
118,I'm interested in knowing about the healthcare services and facilities offered by your hospital.,medical_services
