,message,intent,label
0,I want to plan my visit to the doctor,book_session,5
1,I was hoping to provide some thoughts.,feedback,6
2,I need to cancel my appointment.,session_cancelation,4
3,Could you help me reschedule my last appointment?,session_reschedule,3
4,How do I time travel? Just wondering if you have any sci-fi tips.,fallback,0
5,"Greetings, chatbot!",greeting,2
6,"Hi, bot, ready to chat?",greeting,2
7,"Good morning, chatbot friend!",greeting,2
8,"Tell me about my booking, if you could.",session_status,7
9,Please give me the details of my session.,session_status,7
10,Please mark my appointment as canceled at your hospital.,session_cancelation,4
11,Can you update me on the status of my appointment?,session_status,7
12,"No, I'm done here",service_completion,1
13,I'm stuck.,fallback,0
14,I was hoping to provide feedback on this.,feedback,6
15,I was looking to give feedback.,feedback,6
16,"I don't require any more help, thanks.",service_completion,1
17,"Well, hello, chatbot genius!",greeting,2
18,Could you please help me reschedule my appointment?,session_reschedule,3
19,I'm hoping you can cancel my appointment.,session_cancelation,4
20,I'm good with the information provided.,service_completion,1
21,I have some feedback about my recent visit to your hospital that I'd like to share.,feedback,6
22,"No, that's enough",service_completion,1
23,"I'm hoping you can cancel my appointment, when you're able to.",session_cancelation,4
24,Can you help me move my appointment to another time?,session_reschedule,3
25,"Can you teach me how to fly? I'm just kidding, of course.",fallback,0
26,Could you reschedule the appointment I had fixed at your hospital?,session_reschedule,3
27,I'm interested in canceling my appointment.,session_cancelation,4
28,I want to reschedule my last appointment slot.,session_reschedule,3
29,I'm uncertain.,fallback,0
30,"No, I don't have any other queries.",service_completion,1
31,"Give me the booking details, if you would.",session_status,7
32,Please furnish me with a thorough breakdown of the appointment details.,session_status,7
33,I'm confused.,fallback,0
34,I need to cancel my upcoming appointment at your hospital.,session_cancelation,4
35,Try again?,fallback,0
36,"No, that's sufficient for now.",service_completion,1
37,Could you help me book a doctor's visit,book_session,5
38,"No, that's all I needed help with.",service_completion,1
39,"No, that's everything",service_completion,1
40,Can I share my thoughts?,feedback,6
41,I'm interested in my session. What's available?,session_status,7
42,"Please, I need to make an appointment with one of your doctors as soon as possible.",book_session,5
43,"No, that's all for this service",service_completion,1
44,"Can you help me schedule a session with one of your doctors, please?",book_session,5
45,I need to find a new date for my appointment at your hospital. Can we reschedule it?,session_reschedule,3
46,"Hey, AI buddy!",greeting,2
47,I'm feeling overwhelmed.,fallback,0
48,Feeling stuck.,fallback,0
49,I need to cancel the appointment I had confirmed at your hospital.,session_cancelation,4
50,I wanted to give some feedback about this.,feedback,6
51,Can I share my thoughts and feedback on my recent hospital visit with you?,feedback,6
52,I want to reschedule my appointment slot.,session_reschedule,3
53,I wanted to offer some thoughts.,feedback,6
54,Share my session information with me.,session_status,7
55,"Please, I need to make an appointment to see one of your doctors.",book_session,5
56,"Hello, chat partner!",greeting,2
57,Good evening!,greeting,2
58,"No, I'm happy with the information provided.",service_completion,1
59,"No, I'm content",service_completion,1
60,I'm not following.,fallback,0
61,Need more clarity.,fallback,0
62,"No, that's all I'm aiming for",service_completion,1
63,"No, that's all for now with this",service_completion,1
64,Can you offer a detailed status I've secured for my upcoming medical visit?,session_status,7
65,I'd like to make an appointment with a doctor from your medical team.,book_session,5
66,I'm satisfied with the assistance.,service_completion,1
67,I've decided to cancel my appointment at your hospital.,session_cancelation,4
68,I'm interested in setting up a meeting with a doctor,book_session,5
69,I wanted to provide some feedback.,feedback,6
70,I'd like to offer feedback about the overall patient experience during my hospital visit.,feedback,6
71,"Can you help me by canceling my appointment, if you're in a position to?",session_cancelation,4
72,What's the airspeed velocity of an unladen swallow? An old-school Monty Python reference!,fallback,0
73,I was hoping to give some feedback.,feedback,6
74,Could you assist me in confirming my appointment,book_session,5
75,Could you assist me in setting up my doctor's appointment,book_session,5
76,Could you assist me in reserving a slot with one of your doctors?,book_session,5
77,I'm curious about the details of my booking.,session_status,7
78,Need more info.,fallback,0
79,Can you update me on my session?,session_status,7
80,Can you recite the first 100 digits of pi? I know it's a random challenge.,fallback,0
81,Can I shift the time of my appointment to another slot?,session_reschedule,3
82,Can you help me pick a slot for a doctor's visit,book_session,5
83,Can you help me cancel my appointment?,session_cancelation,4
84,Is it possible to schedule a doctor's appointment at your hospital?,book_session,5
85,Could you provideinformation about the booking I've made for my medical consultation?,session_status,7
86,"Hello, intelligent assistant!",greeting,2
87,How can I share my feedback about the hospital's amenities and accommodations?,feedback,6
88,What's next?,fallback,0
89,"That's all for now, thanks.",service_completion,1
90,I'm keen on obtaining the details on session I've arranged for my healthcare needs.,session_status,7
91,"Hey, robot friend!",greeting,2
92,"No, I don't need any further explanations.",service_completion,1
93,"No, that's all I wanted to discuss.",service_completion,1
94,Is it possible to set up a medical appointment,book_session,5
95,Is there a way to cancel my appointment?,session_cancelation,4
96,I was looking to provide feedback on this.,feedback,6
97,provide me details of booking I've made for my medical assessment.,session_status,7
98,"I want to cancel my appointment, when you're prepared.",session_cancelation,4
99,Can I share some feedback?,feedback,6
100,This is unclear.,fallback,0
101,"no, nothing else",service_completion,1
102,I need to reschedule the appointment I scheduled at your hospital.,session_reschedule,3
103,"Could you assist me with canceling my appointment, when you're ready?",session_cancelation,4
104,I'd like to reserve a meeting with a doctor,book_session,5
105,"I need advice on how to become a millionaire. It's a dream, I guess.",fallback,0
106,Is it possible to shift my last appointment to another time?,session_reschedule,3
107,I'd like to revoke the appointment I scheduled at your hospital.,session_cancelation,4
108,I'm seeking details appointment I've booked at the hospital.,session_status,7
109,"No, no more",service_completion,1
110,Hello there!,greeting,2
111,"No, that's it",service_completion,1
112,I'm looking to shift my appointment to a new time.,session_reschedule,3
113,"Tell me more about my session, please.",session_status,7
114,Can you provide me with my appointment details?,session_status,7
115,"I need to cancel my appointment, when you're available.",session_cancelation,4
116,Can I change the time of my last appointment?,session_reschedule,3
117,Please share details of appointment I've confirmed,session_status,7
118,"What's the meaning of this dream I had last night? I know, it's a bit personal.",fallback,0
119,Could you help me schedule an appointment with one of your doctors?,book_session,5
120,Help please.,fallback,0
121,I'd like to reschedule the appointment I had previously booked at your hospital.,session_reschedule,3
122,I need to confirm a doctor's visit,book_session,5
123,"Provide me with my session details, please.",session_status,7
124,"No, that's the conclusion of our discussion.",service_completion,1
125,This is unclear to me.,fallback,0
126,Can I provide some feedback on this?,feedback,6
127,Please cancel my appointment at your hospital as my plans have changed.,session_cancelation,4
128,Can you guide?,fallback,0
129,I need to reschedule my appointment at your hospital. Can we cancel the current one?,session_cancelation,4
130,"Hi there, chatbot expert!",greeting,2
131,"Could you cancel my appointment, when you're in a position to?",session_cancelation,4
132,I had thoughts I wanted to share.,feedback,6
133,Please cancel my appointment at your hospital due to unforeseen circumstances.,session_cancelation,4
134,I'd like to cancel my appointment at your hospital and reschedule it for another time.,session_cancelation,4
135,I need to select my preferred time for a doctor's visit,book_session,5
136,Please mark my appointment as rescheduled at your hospital.,session_reschedule,3
137,I was looking to give some thoughts on this.,feedback,6
138,I'm no longer able to make it to the appointment at your hospital. Can we reschedule it?,session_reschedule,3
139,"No, that's all I need",service_completion,1
140,details of session I've arranged for my healthcare needs at the hospital.,session_status,7
141,"No, that's everything I need",service_completion,1
142,I need to reschedule my appointment.,session_reschedule,3
143,Not sure.,fallback,0
144,I'm baffled.,fallback,0
145,"Could you cancel my appointment, if possible?",session_cancelation,4
146,I'd like to reschedule my last scheduled appointment.,session_reschedule,3
147,I want to change the time of my appointment.,session_reschedule,3
148,I was hoping to share some feedback.,feedback,6
149,I'm interested in locking in a doctor's appointment,book_session,5
150,Can I provide some feedback?,feedback,6
151,"No, that's all for this issue",service_completion,1
152,I'd like to reschedule the appointment I scheduled at your hospital.,session_reschedule,3
153,Can I provide some thoughts?,feedback,6
154,"No, that's the end",service_completion,1
155,"Hi, there, clever bot!",greeting,2
156,give me details of my appointment,session_status,7
157,Is it possible to book an appointment with one of your doctors? I'd appreciate your help.,book_session,5
158,I need to set up a meeting with one of your doctors. Can you assist me?,book_session,5
159,"I'm interested in seeing one of your doctors, can you provide me with the next available slot?",book_session,5
160,Lost track.,fallback,0
