,text,symp,label
0,A bowl of creamy risotto is the ultimate comfort food.,None,1
1,"My skin is sensitive, and I often experience redness and irritation.",symptom,0
2,Tell me about the match statistics.,None,1
3,"I introduced my teammates to the world of mobile app development, explaining app design and coding.",None,1
4,"My son's appetite has decreased significantly, and he's been losing interest in food.",symptom,0
5,I was drawn into this emotionally charged romance film that explores love's complexities.,None,1
6,"I've had episodes of sudden, intense pain in my legs.",symptom,0
7,I've noticed that my breathing difficulties are worse when I'm around animals.,symptom,0
8,"Loss of appetite has been a persistent issue, and I struggle to finish meals.",symptom,0
9,"I joined a guided tour of a vibrant street art district, admiring the colorful murals.",None,1
10,I've been experiencing a gradual loss of contrast sensitivity.,symptom,0
11,Tell me about the game statistics.,None,1
12,"I spent a day at a serene Zen garden, finding inner peace amidst the carefully raked gravel.",None,1
13,"I've noticed changes in my urine sediment, and it's becoming gritty and unusual.",symptom,0
14,I've been having trouble with heavy bleeding and clotting during my menstrual periods.,symptom,0
15,I've been experiencing difficulty breathing during allergy flare-ups.,symptom,0
16,"I advised my coworker on planning an eco-conscious road trip, exploring scenic routes and eco-friendly accommodations.",None,1
17,"I've been feeling more fatigued than usual, to the point where even a short walk leaves me out of breath and exhausted.",symptom,0
18,I've had a sudden onset of coughing with pink or frothy sputum.,symptom,0
19,I want to be their support and strength.,None,1
20,"I spent a day at a serene monastery, finding solace in the tranquil gardens.",None,1
21,I've had recurring sinus headaches related to dust allergies.,symptom,0
22,"I've had persistent sinus congestion, facial pain, and post-nasal drip.",symptom,0
23,"I asked a fellow foodie for restaurant recommendations in a new city, and I savored culinary delights.",None,1
24,I saw a feel-good movie that's like a warm hug on a rainy day.,None,1
25,I recounted my experience of attending a music festival with enthusiasm.,None,1
26,"Recently, I've been experiencing a sharp, squeezing pain in my chest, especially during physical activities like climbing stairs or walking briskly.",symptom,0
27,"Urinating more frequently, especially at night, has become a recent issue.",symptom,0
28,"I discovered a lump in my breast, and it's causing me anxiety.",symptom,0
29,"I joined a guided tour of an ancient castle, hearing tales of knights and royalty.",None,1
30,"I've noticed that my pupils are different sizes, and it's unusual.",symptom,0
31,"I've had a foreign object stuck in my eye, and it's causing pain.",symptom,0
32,"I've noticed changes in my menstrual cycle, including irregular periods and heavy bleeding.",symptom,0
33,I attended a live stand-up comedy show and laughed until tears rolled down my cheeks.,None,1
34,"I elucidated the concept of sustainable agriculture to a group of farmers, advocating for eco-friendly practices.",None,1
35,Sitting by the campfire and gazing at the starry sky is pure tranquility.,None,1
36,I explained the process of creating a successful blog to someone interested in writing.,None,1
37,"I've been experiencing pain in my big toe joint, and it's affecting my ability to walk comfortably.",symptom,0
38,They make even the ordinary moments extraordinary.,None,1
39,"I spent a night at a cozy mountain chalet, waking up to snow-covered peaks outside.",None,1
40,"I've been dealing with allergies to airborne allergens, and it's impacting my daily routine.",symptom,0
41,I like to keep my car stocked with emergency supplies for unexpected situations.,None,1
42,I asked a seasoned traveler for tips on navigating airports and customs procedures.,None,1
43,I offered advice on choosing the right paint color to a friend who was redecorating.,None,1
44,"I've had trouble with persistent feelings of sadness and despair, and it's affecting my motivation.",symptom,0
45,"I briefed my coworkers on the importance of data security, emphasizing the protection of sensitive information.",None,1
46,"My skin feels dry and itchy, especially in the winter months.",symptom,0
47,I described the benefits of journaling to someone interested in self-reflection.,None,1
48,"I've had episodes of intense, stabbing pain in my chest.",symptom,0
49,"Savoring the rich and savory flavors of a traditional Italian pasta dish, like lasagna or fettuccine alfredo.",None,1
50,"For the past few weeks, I've been waking up at night with a pounding heart and a feeling of impending doom.",symptom,0
51,"I've had recurring episodes of tingling and numbness in my extremities, particularly my feet.",symptom,0
52,Consistent pain in my lower back is making it hard to bend and move.,symptom,0
53,"I've had a recent joint injury, and I'm concerned about long-term mobility.",symptom,0
54,I'm looking forward to a cozy evening at home.,None,1
55,I've been dealing with persistent snoring and restless sleep.,symptom,0
56,"I briefed my coworkers on the importance of workplace diversity and inclusion, fostering a welcoming environment.",None,1
57,"I advised my friend on planning a budget-friendly wedding, suggesting cost-saving ideas and vendors.",None,1
58,I've noticed changes in my ability to detect odors and scents.,symptom,0
59,"Savoring the flavors of a traditional Mexican fiesta, with spicy tacos and zesty salsa.",None,1
60,"Persistent pain in my eyes, especially when reading or using screens, is concerning.",symptom,0
61,"I've been experiencing joint stiffness and pain, especially in the morning.",symptom,0
62,"I've been having trouble with erectile dysfunction, and it's affecting my relationship.",symptom,0
63,I just finished a mind-bending science fiction movie that will leave you thinking.,None,1
64,What's the schedule for today's matches?,None,1
65,How's the team's recent form?,None,1
66,Frequent hot flashes have been making me uncomfortable and sweaty.,symptom,0
67,I enjoy exploring historical landmarks.,None,1
68,"I've been experiencing difficulty in concentrating and memory problems, and it's affecting my daily tasks.",symptom,0
69,I recently saw a thrilling spy film that's filled with espionage and intrigue.,None,1
70,"My feet have been cramping, and I'm concerned about muscle imbalances.",symptom,0
71,"I've had episodes of sudden, intense pain in my abdomen.",symptom,0
72,"I elucidated the concept of climate change to my community, highlighting its global impact.",None,1
73,"I've been experiencing persistent redness and flushing on my face, and it's affecting my self-esteem.",symptom,0
74,"I've had this constant pain in my shoulder, and it's interfering with my ability to raise my arm.",symptom,0
75,"I asked a comedian friend to tell me a funny anecdote, and it had me doubled over with laughter.",None,1
76,"I've been experiencing persistent abdominal pain and discomfort, particularly on the right side.",symptom,0
77,"I've developed these painful, open sores on my skin, and they're not healing.",symptom,0
78,Did you catch the score of the match?,None,1
79,I've noticed that my skin is becoming rough and textured.,symptom,0
80,I've been reliving a traumatic event.,symptom,0
81,They're my heart's desire.,None,1
82,"I've noticed changes in my ability to remember important information, and it's causing me concern.",symptom,0
83,I had a fantastic day exploring a new city.,None,1
84,I watched a gripping mystery movie with a plot full of surprises.,None,1
85,"I've noticed changes in my urine consistency, and it's becoming thick and unusual.",symptom,0
86,"My fingers have been feeling swollen, and it's challenging to make precise movements.",symptom,0
87,"I've had trouble with frequent urinary tract infections, and it's impacting my quality of life.",symptom,0
88,"I've noticed changes in my ability to focus on tasks and complete them, and it's affecting my work.",symptom,0
89,"I've been experiencing hot flashes and mood swings, and I suspect it might be related to menopause.",symptom,0
90,I enjoy working on my car in the garage and customizing it to my liking.,None,1
91,"My sense of smell has changed, and I've become oversensitive to certain odors.",symptom,0
92,I've had a sudden outbreak of skin blisters after using a new skincare product.,symptom,0
93,I admire the craftsmanship that goes into restoring vintage cars.,None,1
94,Eating a freshly baked baguette with cheese is a French delight.,None,1
95,I love the way they make even the mundane moments special.,None,1
96,"I shared insights into the benefits of mindfulness meditation with a friend, reducing stress.",None,1
97,I've had recurring lung infections with a productive cough.,symptom,0
98,Hiking through a lush rainforest is a nature lover's dream.,None,1
99,I'm looking forward to a weekend of hiking.,None,1
100,The scent of blooming flowers in a botanical garden is enchanting.,None,1
101,There's a classic musical that's a timeless favorite for a reason.,None,1
102,"I've had a history of pollen allergies, and I need effective treatment.",symptom,0
103,I've been experiencing pelvic pain that gets worse during my menstrual period.,symptom,0
104,"I've had a history of exposure to occupational hazards, and I'm concerned.",symptom,0
105,I've been experiencing coughing fits that are more frequent during the day.,symptom,0
106,I'm excited about the upcoming summer season.,None,1
107,I talked about my experience of renovating my home and the challenges it entailed.,None,1
108,I've had a sudden onset of skin blisters after exposure to allergens.,symptom,0
109,"I introduced my teammates to the world of meditation and mindfulness, explaining relaxation techniques.",None,1
110,"I recommended a language exchange app to a friend, and they improved their language skills.",None,1
111,"I've had a history of asthma, and I need a review of my treatment plan.",symptom,0
112,I've had chest discomfort that's accompanied by a burning sensation.,symptom,0
113,"My sense of taste and smell have diminished, and I can't enjoy food as before.",symptom,0
114,There's an adrenaline-pumping action movie that's a rollercoaster ride.,None,1
115,They're my confidant and my partner.,None,1
116,"I've noticed changes in my ability to connect with others emotionally, and it's affecting my social life.",symptom,0
117,I've been getting canker sores in my mouth more frequently.,symptom,0
118,I described the benefits of reading before bedtime to someone seeking better sleep.,None,1
119,"I described the process of creating a professional LinkedIn profile to a job seeker, enhancing their online presence.",None,1
120,"I attended a live jazz concert last night. The music was soulful, and the atmosphere was electric.",None,1
121,I attended a live performance of my favorite band. The energy in the crowd was contagious.,None,1
122,What's the official match time?,None,1
123,I've had a sudden decrease in my ability to hear doorbells and alarms.,symptom,0
124,"I discussed the importance of recycling with a group of students, promoting eco-consciousness.",None,1
125,"My daughter has been having trouble with focus and attention, and it's impacting her school performance.",symptom,0
126,"I attended a live orchestra performance, losing myself in the classical melodies.",None,1
127,I've had recurring episodes of ear congestion and muffled hearing.,symptom,0
128,"I suggested a new skincare routine to my roommate, and they achieved healthier-looking skin.",None,1
129,"I advised my friend on planning a memorable family vacation, suggesting kid-friendly destinations and activities.",None,1
130,"I've had a history of anxiety attacks, and I'm concerned about their recurrence and impact on my well-being.",symptom,0
131,"I asked a fitness trainer for workout advice, and they customized a plan just for me.",None,1
132,"I instructed a group of students on effective note-taking techniques, improving their study habits.",None,1
133,"I've had a history of retinal vein occlusion, and I need an evaluation.",symptom,0
134,I've had persistent muscle weakness that affects my ability to lift objects.,symptom,0
135,I've been dealing with persistent throat pain and difficulty speaking loudly.,symptom,0
136,I enjoy going to art galleries and museums.,None,1
137,I've been dealing with frequent eye twitches that are visible to others.,symptom,0
138,"I discussed the principles of effective job searching with a recent graduate, emphasizing networking.",None,1
139,"My skin has become extremely sensitive to sunlight, and I'm getting sunburned easily.",symptom,0
140,I've got a cracked tooth.,symptom,0
141,"I've had these small, itchy blisters on my fingers, and they're recurring.",symptom,0
142,I've noticed that my child's allergies lead to frequent colds.,symptom,0
143,"I've noticed changes in my skin texture, with increased roughness and peeling.",symptom,0
144,"I spent a night in a cozy cabin by a pristine mountain lake, stargazing by the campfire.",None,1
145,"I've noticed changes in my voice, with a nasal or congested quality.",symptom,0
146,I offered advice on planning a family picnic to a parent for quality time.,None,1
147,Let me share the plot of this intriguing political thriller filled with power struggles.,None,1
148,I can't stop thinking about them.,None,1
149,"I suggested a scenic bike trail to my cycling buddies, and we explored picturesque routes.",None,1
150,I've had a sudden onset of chest pain that feels like pressure or squeezing.,symptom,0
151,"I explained the principles of home security to a homeowner, discussing alarm systems and safety measures.",None,1
152,"I've had a recent hip dislocation, and I need assistance with recovery.",symptom,0
153,Who's the team's biggest rival?,None,1
154,"I've noticed that my fingers are becoming deformed, and it's painful when I try to grip objects.",symptom,0
155,"I visited a serene meditation retreat, finding inner peace in the midst of nature.",None,1
156,Witnessing a live theater performance and getting lost in the story is magical.,None,1
157,I called a tech support hotline to troubleshoot an issue with my computer.,None,1
158,I've noticed that my child's allergies affect their academic performance.,symptom,0
159,"I've had a sudden onset of excessive thirst and dry mouth, especially at night.",symptom,0
160,Is there any news on international initiatives to combat human rights violations?,None,1
161,Exploring ancient ruins in foreign lands is a dream of mine.,None,1
162,Off-roading in a rugged 4x4 vehicle is an exhilarating experience.,None,1
163,I've been experiencing hives and skin rashes after eating certain foods.,symptom,0
164,"I look forward to immersing myself in the vibrant colors and rich traditions of the Rio Carnival, where samba rhythms fill the air.",None,1
165,Tell me about the sports commentary.,None,1
166,"I've noticed changes in my voice, with a raspy or gravelly quality.",symptom,0
167,"I advised my coworker on planning a memorable family vacation, covering travel destinations and activities.",None,1
168,"I've been dealing with sleep disturbances, including insomnia and restless nights.",symptom,0
169,Any exciting overtime moments?,None,1
170,"I'm captivated by the intricate designs of henna tattoos, each one a unique work of art.",None,1
171,"I've been experiencing blurry vision, especially when trying to read or focus on objects.",symptom,0
172,"The taste of homemade gelato on a sunny day in Florence, with flavors like pistachio and hazelnut, is a delightful treat.",None,1
173,"I've been experiencing frequent migraines, and they're affecting my daily life.",symptom,0
174,Visiting historical castles and palaces fills me with awe.,None,1
175,"I spent a weekend at a cozy log cabin in a snowy wonderland, sipping hot cocoa.",None,1
176,"I've noticed a change in the size and shape of my vulva, and it's causing me discomfort.",symptom,0
177,I had a relaxing day at the beach.,None,1
178,"Frequent chest discomfort, especially after eating, has been concerning.",symptom,0
179,I asked a fitness trainer for workout routines tailored to my fitness goals.,None,1
180,"I've been experiencing frequent, foul-smelling diarrhea, and it's becoming increasingly bothersome.",symptom,0
181,"I've had a previous ectopic pregnancy, and I'm worried about the risk of another one.",symptom,0
182,"My son has been having trouble making friends and socializing, and it's causing him distress.",symptom,0
183,The soothing sound of a crackling fireplace on a chilly winter evening is a cozy embrace.,None,1
184,I've noticed that my child's allergies lead to bedtime discomfort.,symptom,0
185,"I've had an allergic reaction to a bee sting, and I need guidance.",symptom,0
186,"I introduced my family to the world of healthy cooking, discussing nutritious meal preparation.",None,1
187,"I shared my favorite dad jokes with a friend, and they couldn't stop chuckling.",None,1
188,"My cough is persistent, and I've noticed it's worse when lying down, especially at night.",symptom,0
189,I recommended a captivating novel for a friend who enjoys escaping into fiction.,None,1
190,"I find it hard to catch my breath sometimes, even with minimal physical activity.",symptom,0
191,I described my experience of attending a theater performance and enjoying the acting.,None,1
192,"I've been experiencing chest pain that's sometimes accompanied by a feeling of fullness, even when I haven't eaten much.",symptom,0
193,"I'm experiencing pain in my fingers, particularly in the joints, making it hard to write.",symptom,0
194,I've been experiencing chest pain that's sometimes accompanied by a feeling of fullness.,symptom,0
195,Attending a masquerade ball and feeling mysterious is enchanting.,None,1
196,"I recommended a classic novel to my cousin, and they discovered the joys of reading.",None,1
197,"I clarified the process of setting up a home gym to a fitness enthusiast, ensuring an effective workout space.",None,1
198,I talked about my cooking experiments with food enthusiasts.,None,1
199,"I've noticed changes in my voice, with a trembling or shaky quality.",symptom,0
200,I've got a mouth ulcer.,symptom,0
201,I described my experience of witnessing a meteor shower on a clear night.,None,1
202,"I'm experiencing a constant, burning pain in my stomach.",symptom,0
203,"My chest pain often occurs during moments of physical exertion, like lifting or exercising.",symptom,0
204,"My skin is sensitive to certain fabrics, and they often cause irritation.",symptom,0
205,"I've been having recurring stomachaches, and they're quite uncomfortable.",symptom,0
206,I'm planning to visit an ancient rainforest and experience its biodiversity.,None,1
207,I explained how to use a new smartphone app to my elderly relative.,None,1
208,"I spent a weekend at a rustic log cabin, hiking to hidden waterfalls in the nearby woods.",None,1
209,I've been experiencing sharp abdominal pain in the lower right side.,symptom,0
210,My dental crown feels loose.,symptom,0
211,"I've been urinating more frequently, and it's become bothersome.",symptom,0
212,I've got a cold sore.,symptom,0
213,My stools have become more frequent and urgent.,symptom,0
214,My stomach often feels heavy and uncomfortable after meals.,symptom,0
215,"I've noticed changes in my voice, with a high-pitched or squeaky quality.",symptom,0
216,"I embarked on a hot air balloon adventure at sunrise, floating above picturesque landscapes.",None,1
217,I discussed my travel bucket list with a friend who loves exploring.,None,1
218,I've been dealing with a persistent cough that's not responsive to over-the-counter medications.,symptom,0
219,Sipping a cup of aromatic herbal tea is my daily ritual.,None,1
220,"I've been experiencing persistent nightmares and flashbacks related to a traumatic event, and it's distressing.",symptom,0
221,"I've been experiencing persistent, painful swelling in my legs and ankles.",symptom,0
222,Have there been any recent developments in international human rights issues?,None,1
223,I chatted about my gardening experiences with neighbors.,None,1
224,"I've had trouble with blood in my semen, and it's causing me significant worry.",symptom,0
225,"I explored a historic medieval village, with cobblestone streets and charming stone cottages.",None,1
226,"I've been feeling extremely fatigued, and it's impacting my ability to perform daily tasks.",symptom,0
227,"I've had a recent knee fracture, and I need rehabilitation.",symptom,0
228,I suggested a local farmers' market to a friend who loves fresh produce.,None,1
229,"I've had a previous vasectomy, and I'm considering a reversal.",symptom,0
230,I asked a tech-savvy friend for guidance on setting up a home entertainment system.,None,1
231,"I've been dealing with persistent fatigue, and it's affecting my daily life.",symptom,0
232,I've got a dental surgery.,symptom,0
233,"I've been feeling overwhelmed by stress, and it's impacting my ability to cope with daily challenges.",symptom,0
234,I called a customer service hotline to inquire about a product's warranty.,None,1
235,I feel a pounding sensation in my chest and it's accompanied by shortness of breath.,symptom,0
236,"Nausea and occasional vomiting have been happening more frequently, and I'm not sure why.",symptom,0
237,"I discussed the principles of effective volunteer management with a group of nonprofit leaders, optimizing volunteer engagement.",None,1
238,"I've been experiencing a persistent, sharp pain in my left arm, and it sometimes radiates up into my jaw, making me wonder if it's related to my heart.",symptom,0
239,Are there any upsets in the tournament?,None,1
240,I've been dealing with wheezing that's more pronounced when I'm indoors.,symptom,0
